附件1：,,,
全国普通高等学校名单,,,
序号,学校名称,所在地,
199,华北理工大学冀唐学院,唐山市,
200,中国地质大学长城学院,保定市,
201,燕京理工学院,廊坊市,
202,北京中医药大学东方学院,廊坊市,
203,北京交通大学海滨学院,沧州市,
204,河北东方学院,廊坊市,
205,河北中医学院,石家庄市,
206,张家口学院,张家口市,
207,河北环境工程学院,秦皇岛市,
208,河北工业职业技术学院,石家庄市,
209,邯郸职业技术学院,邯郸市,
210,石家庄职业技术学院,石家庄市,
211,张家口职业技术学院,张家口市,
212,承德石油高等专科学校,承德市,
213,邢台职业技术学院,邢台市,
214,河北软件职业技术学院,保定市,
215,河北石油职业技术学院,廊坊市,
216,河北建材职业技术学院,秦皇岛市,
217,河北政法职业学院,石家庄市,
218,沧州职业技术学院,沧州市,
219,河北能源职业技术学院,唐山市,
220,石家庄铁路职业技术学院,石家庄市,
221,保定职业技术学院,保定市,
222,秦皇岛职业技术学院,秦皇岛市,
223,石家庄工程职业学院,石家庄市,
224,石家庄城市经济职业学院,石家庄市,
225,唐山职业技术学院,唐山市,
226,衡水职业技术学院,衡水市,
227,唐山工业职业技术学院,唐山市,
228,邢台医学高等专科学校,邢台市,
229,河北省艺术职业学院,石家庄市,
230,河北旅游职业学院,承德市,
231,石家庄财经职业学院,石家庄市,
232,河北交通职业技术学院,石家庄市,
233,河北化工医药职业技术学院,石家庄市,
234,石家庄信息工程职业学院,石家庄市,
235,河北对外经贸职业学院,秦皇岛市,
236,保定电力职业技术学院,保定市,
237,河北机电职业技术学院,邢台市,
238,渤海石油职业学院,沧州市,
239,廊坊职业技术学院,廊坊市,
240,唐山科技职业技术学院,唐山市,
241,石家庄邮电职业技术学院,石家庄市,
242,河北公安警察职业学院,石家庄市,
243,石家庄工商职业学院,石家庄市,
244,石家庄理工职业学院,石家庄市,
245,石家庄科技信息职业学院,石家庄市,
246,河北司法警官职业学院,邯郸市,
247,沧州医学高等专科学校,沧州市,
248,河北女子职业技术学院,石家庄市,
249,石家庄医学高等专科学校,石家庄市,
250,石家庄经济职业学院,石家庄市,
251,冀中职业学院,保定市,
252,石家庄人民医学高等专科学校,石家庄市,
253,石家庄科技工程职业学院,石家庄市,
254,河北劳动关系职业学院,石家庄市,
255,石家庄科技职业学院,石家庄市,
256,泊头职业学院,沧州市,
257,宣化科技职业学院,张家口市,
258,廊坊燕京职业技术学院,廊坊市,
259,承德护理职业学院,承德市,
260,石家庄幼儿师范高等专科学校,石家庄市,
261,廊坊卫生职业学院,廊坊市,
262,河北轨道运输职业技术学院,石家庄市,
263,保定幼儿师范高等专科学校,保定市,
264,河北工艺美术职业学院,保定市,
265,渤海理工职业学院,沧州市,
266,唐山幼儿师范高等专科学校,唐山市,
山西省（80所）,,,
267,山西大学,太原市,
268,太原科技大学,太原市,
269,中北大学,太原市,
270,太原理工大学,太原市,
271,山西农业大学,晋中市,
272,山西医科大学,太原市,
273,长治医学院,长治市,
274,山西师范大学,临汾市,
275,太原师范学院,太原市,
276,山西大同大学,大同市,
277,晋中学院,晋中市,
278,长治学院,长治市,
279,运城学院,运城市,
280,忻州师范学院,忻州市,
281,山西财经大学,太原市,
282,山西中医学院,太原市,
283,吕梁学院,吕梁市,
284,太原学院,太原市,
285,山西警察学院,太原市,
286,山西应用科技学院,太原市,
287,山西大学商务学院,太原市,
288,太原理工大学现代科技学院,太原市,
289,山西农业大学信息学院,晋中市,
290,山西师范大学现代文理学院,临汾市,
291,中北大学信息商务学院,太原市,
292,太原科技大学华科学院,太原市,
293,山西医科大学晋祠学院,太原市,
294,山西财经大学华商学院,太原市,
295,山西工商学院,太原市,
296,太原工业学院,太原市,
297,山西传媒学院,太原市,
298,山西工程技术学院,阳泉市,
299,山西能源学院,晋中市,
300,山西省财政税务专科学校,太原市,
301,长治职业技术学院,长治市,
302,山西艺术职业学院,太原市,
303,晋城职业技术学院,晋城市,
304,山西建筑职业技术学院,太原市,
305,山西药科职业学院,太原市,
306,山西工程职业技术学院,太原市,
307,山西交通职业技术学院,太原市,
308,大同煤炭职业技术学院,大同市,
309,山西机电职业技术学院,长治市,
310,山西戏剧职业学院,太原市,
311,山西财贸职业技术学院,太原市,
312,山西林业职业技术学院,太原市,
313,山西水利职业技术学院,运城市,
314,阳泉职业技术学院,阳泉市,
315,临汾职业技术学院,临汾市,
316,山西职业技术学院,太原市,
317,山西煤炭职业技术学院,太原市,
318,山西金融职业学院,太原市,
319,太原城市职业技术学院,太原市,
320,山西信息职业技术学院,临汾市,
321,山西体育职业学院,太原市,
322,山西警官职业学院,太原市,
323,山西国际商务职业学院,太原市,
324,潞安职业技术学院,长治市,
325,太原旅游职业学院,太原市,
326,山西旅游职业学院,太原市,
327,山西管理职业学院,临汾市,
328,山西电力职业技术学院,太原市,
329,忻州职业技术学院,忻州市,
330,山西同文职业技术学院,晋中市,
331,晋中职业技术学院,晋中市,
332,山西华澳商贸职业学院,晋中市,
333,山西运城农业职业技术学院,运城市,
334,运城幼儿师范高等专科学校,运城市,
335,山西老区职业技术学院,太原市,
336,山西经贸职业学院,太原市,
337,朔州职业技术学院,朔州市,
338,运城职业技术学院,运城市,
339,山西轻工职业技术学院,太原市,
340,晋中师范高等专科学校,晋中市,
341,阳泉师范高等专科学校,阳泉市,
342,山西青年职业学院,太原市,
343,运城护理职业学院,运城市,
344,运城师范高等专科学校,运城市,
345,朔州师范高等专科学校,朔州市,
346,吕梁职业技术学院,吕梁市,
内蒙古自治区（53所）,,,
347,内蒙古大学,呼和浩特市,
348,内蒙古科技大学,包头市,
349,内蒙古工业大学,呼和浩特市,
350,内蒙古农业大学,呼和浩特市,
351,内蒙古医科大学,呼和浩特市,
352,内蒙古师范大学,呼和浩特市,
353,内蒙古民族大学,通辽市,
354,赤峰学院,赤峰市,
355,内蒙古财经大学,呼和浩特市,
356,呼伦贝尔学院,呼伦贝尔市,
357,集宁师范学院,乌兰察布市,
358,河套学院,巴彦淖尔市,
359,呼和浩特民族学院,呼和浩特市,
360,内蒙古大学创业学院,呼和浩特市,
361,内蒙古师范大学鸿德学院,呼和浩特市,
362,内蒙古艺术学院,呼和浩特市,
363,鄂尔多斯应用技术学院,鄂尔多斯市,
364,内蒙古建筑职业技术学院,呼和浩特市,
365,内蒙古丰州职业学院,呼和浩特市,
366,包头职业技术学院,包头市,
367,兴安职业技术学院,兴安盟,
368,呼和浩特职业学院,呼和浩特市,
369,包头轻工职业技术学院,包头市,
370,内蒙古电子信息职业技术学院,呼和浩特市,
371,内蒙古机电职业技术学院,呼和浩特市,
372,内蒙古化工职业学院,呼和浩特市,
373,内蒙古商贸职业学院,呼和浩特市,
374,锡林郭勒职业学院,锡林郭勒盟,
375,内蒙古警察职业学院,呼和浩特市,
376,内蒙古体育职业学院,呼和浩特市,
377,乌兰察布职业学院,乌兰察布市,
378,通辽职业学院,通辽市,
379,科尔沁艺术职业学院,通辽市,
380,内蒙古交通职业技术学院,赤峰市,
381,包头钢铁职业技术学院,包头市,
382,乌海职业技术学院,乌海市,
383,内蒙古科技职业学院,呼和浩特市,
384,内蒙古北方职业技术学院,呼和浩特市,
385,赤峰职业技术学院,赤峰市,
386,内蒙古经贸外语职业学院,呼和浩特市,
387,包头铁道职业技术学院,包头市,
388,乌兰察布医学高等专科学校,乌兰察布市,
389,鄂尔多斯职业学院,鄂尔多斯市,
390,内蒙古工业职业学院,呼和浩特市,
391,呼伦贝尔职业技术学院,呼伦贝尔市,
392,满洲里俄语职业学院,呼伦贝尔市,
393,内蒙古能源职业学院,呼和浩特市,
394,赤峰工业职业技术学院,赤峰市,
395,阿拉善职业技术学院,阿拉善盟,
396,内蒙古美术职业学院,巴彦淖尔市,
397,内蒙古民族幼儿师范高等专科学校,鄂尔多斯市,
398,鄂尔多斯生态环境职业学院,鄂尔多斯市,
399,扎兰屯职业学院,呼伦贝尔市,
辽宁省（116所）,,,
400,辽宁大学,沈阳市,
401,大连理工大学,大连市,
402,沈阳工业大学,沈阳市,
403,沈阳航空航天大学,沈阳市,
404,沈阳理工大学,沈阳市,
405,东北大学,沈阳市,
406,辽宁科技大学,鞍山市,
407,辽宁工程技术大学,阜新市,
408,辽宁石油化工大学,抚顺市,
409,沈阳化工大学,沈阳市,
410,大连交通大学,大连市,
411,大连海事大学,大连市,
412,大连工业大学,大连市,
413,沈阳建筑大学,沈阳市,
414,辽宁工业大学,锦州市,
415,沈阳农业大学,沈阳市,
416,大连海洋大学,大连市,
417,中国医科大学,沈阳市,
418,锦州医科大学,锦州市,
419,大连医科大学,大连市,
420,辽宁中医药大学,沈阳市,
421,沈阳药科大学,沈阳市,
422,沈阳医学院,沈阳市,
423,辽宁师范大学,大连市,
424,沈阳师范大学,沈阳市,
425,渤海大学,锦州市,
426,鞍山师范学院,鞍山市,
427,大连外国语大学,大连市,
428,东北财经大学,大连市,
429,中国刑事警察学院,沈阳市,
430,沈阳体育学院,沈阳市,
431,沈阳音乐学院,沈阳市,
432,鲁迅美术学院,沈阳市,
433,辽宁对外经贸学院,大连市,
434,沈阳大学,沈阳市,
435,大连大学,大连市,
436,辽宁科技学院,本溪市,
437,辽宁警察学院,大连市,
438,沈阳工程学院,沈阳市,
439,辽东学院,丹东市,
440,大连民族大学,大连市,
441,大连理工大学城市学院,大连市,
442,沈阳工业大学工程学院,辽阳市,
443,沈阳航空航天大学北方科技学院,沈阳市,
444,沈阳工学院,沈阳市,
445,大连工业大学艺术与信息工程学院,大连市,
446,大连科技学院,大连市,
447,沈阳城市建设学院,沈阳市,
448,中国医科大学临床医药学院,沈阳市,
449,大连医科大学中山学院,大连市,
450,锦州医科大学医疗学院,锦州市,
451,辽宁师范大学海华学院,沈阳市,
452,辽宁理工学院,锦州市,
453,大连财经学院,大连市,
454,沈阳城市学院,沈阳市,
455,辽宁科技大学信息技术学院,鞍山市,
456,辽宁石油化工大学顺华能源学院,抚顺市,
457,大连艺术学院,大连市,
